circle_id,point_index,python_x_psi,matlab_x_psi,x_absolute_error_psi,x_relative_error,python_y_psi,matlab_y_psi,y_absolute_error_psi,y_relative_error
circle1,81,1369.0598503766141,1369.1,0.04014962338578698,2.9325559408214875e-05,405.4806130916981,405.48,0.0006130916980850998,1.5120146445819763e-06
circle1,82,1356.5124400737673,1356.5,0.012440073767265858,9.170714166801223e-06,385.25804368005475,385.26,0.0019563199452363733,5.0779212615801626e-06
circle1,83,1344.6129671976614,1344.6,0.01296719766151,9.643907230038673e-06,364.64755207535154,364.65,0.0024479246484361283,6.7130800724972675e-06
circle1,84,1333.3734135088075,1333.4,0.026586491192574613,1.9938871450858416e-05,343.6698912955579,343.67,0.00010870444214106101,3.163047171445311e-07
circle1,85,1322.8050962850339,1322.8,0.005096285033914683,3.852649708130241e-06,322.34618406687855,322.35,0.003815933121472881,1.1837856744137989e-05
circle1,86,1312.9186569259477,1312.9,0.01865692594765278,1.4210469912143178e-05,300.6979015549602,300.7,0.002098445039791841,6.978533554345996e-06
circle1,87,1303.7240502379454,1303.7,0.02405023794540284,1.8447678104934297e-05,278.74684174524566,278.75,0.0031582547543393957,1.133006189897541e-05
circle1,88,1295.230534410569,1295.2,0.03053441056886186,2.357505448491496e-05,256.51510749425165,256.52,0.0048925057483302226,1.9072609341689627e-05
circle1,89,1287.446661694291,1287.4,0.04666169429083311,3.62449077915435e-05,234.02508427386522,234.03,0.004915726134782972,2.1004683736200366e-05
circle1,90,1280.380269789127,1280.4,0.01973021087314919,1.5409411803459223e-05,211.29941763107226,211.3,0.0005823689277519861,2.7561236523993663e-06
circle1,91,1274.0384739527326,1274.0,0.0384739527326019,3.0199334954946548e-05,188.36099038580946,188.36,0.0009903858094446605,5.257941226612128e-06
circle1,92,1268.4276598359447,1268.4,0.027659835944632505,2.1806871605670533e-05,165.2328995899056,165.23,0.0028995899056099006,1.7548810177388494e-05
circle1,93,1263.5534770529698,1263.6,0.046522947030098294,3.68177801757663e-05,141.93843327030757,141.94,0.0015667296924277707,1.1037971624825777e-05
circle1,94,1259.4208334927043,1259.4,0.020833492704241507,1.6542395350358508e-05,118.50104698001242,118.5,0.0010469800124184303,8.835274366400256e-06
circle1,95,1256.0338903769034,1256.0,0.033890376903400465,2.6982784158758333e-05,94.94434018031203,94.944,0.0003401803120226532,3.582957448839876e-06
circle1,96,1253.3960580701864,1253.4,0.003941929813663592,3.1449894795465065e-06,71.29203247813683,71.292,3.2478136830604853e-05,4.5556495582400346e-07
circle1,97,1251.5099926460866,1251.5,0.009992646086629975,7.98453542679183e-06,47.5679397424233,47.568,6.025757669902987e-05,1.2667670849947416e-06
circle1,98,1250.377593212611,1250.4,0.022406787389172678,1.791969560874334e-05,23.795950123550742,23.796,4.98764492569137e-05,2.0960013975842035e-06
circle1,99,1250.0,1250.0,0.0,0.0,9.184850993605149e-14,9.1849e-14,4.900639485108539e-19,4.900639485108539e-19
circle2,0,2250.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0
circle2,1,2249.7482711915927,2249.7,0.04827119159290305,2.145672382668936e-05,15.863966749033825,15.864,3.325096617601275e-05,2.096001397882801e-06
circle2,2,2248.9933382359422,2249.0,0.006661764057753317,2.9621005147858233e-06,31.711959828282254,31.712,4.017171774606254e-05,1.266767083314283e-06
circle2,3,2247.735961286542,2247.7,0.035961286542260495,1.5999148704124437e-05,47.52802165209133,47.528,2.1652091334090073e-05,4.5556495821600057e-07
circle2,4,2245.977406415398,2246.0,0.022593584601963812,1.0059476670509267e-05,63.296226786874634,63.296,0.00022678687463439928,3.5829574480914953e-06
circle2,5,2243.719444338197,2243.7,0.01944433819699043,8.666193429152932e-06,79.00069798667495,79.001,0.0003020133250544177,3.822905090497812e-06
circle2,6,2240.9643486313535,2241.0,0.035651368646540504,1.590868748172267e-05,94.62562218020511,94.626,0.0003778197948918205,3.992769375138128e-06
circle2,7,2237.714893442703,2237.7,0.014893442703396431,6.655692319522918e-06,110.15526639327032,110.16,0.004733606729672601,4.2970286217071545e-05
circle2,8,2233.9743506981777,2234.0,0.02564930182234093,1.1481334745900148e-05,125.57399359053962,125.57,0.003993590539622005,3.180369944749546e-05
circle2,9,2229.7464868072484,2229.7,0.04648680724858423,2.08489066908482e-05,140.86627842071485,140.87,0.003721579285155485,2.641853684358263e-05
